round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
100,0.0009853311709995414,-0.0009760296670719981,0.0010931523245138427,-0.001088565,1,32,10
100,0.010332244316337209,-0.027517838403582573,0.0021385035260940055,-0.002123807,1,32,50
100,0.0013792388291915315,-0.001362399896606803,0.0014372369856294467,-0.0014274949,1,32,100
100,0.0008024002500752637,-0.0007952488958835602,0.0008977288408182579,-0.00089194416,1,128,10
100,0.0008517372893826087,-0.0008142773294821382,0.000964682163406561,-0.0009436845,1,128,50
100,0.0009004129734696728,-0.0008893821504898369,0.0009999357063403662,-0.0010169627,1,128,100
100,0.000830134101902488,-0.0008245834615081549,0.0008827083647514669,-0.0008881663,2,32,10
100,0.0009588780438249139,-0.0009561071638017893,0.0010672679231825957,-0.0010643922,2,32,50
100,0.0007806228461739575,-0.0007813961710780859,0.0007926090790474747,-0.000791647,2,32,100
100,0.000928389309937584,-0.0009196590399369597,0.0010810918563293468,-0.0010649742,2,128,10
100,0.0016779343693934638,-0.0016551606822758913,0.001559611263252768,-0.001533532,2,128,50
100,nan,nan,nan,nan,2,128,100
100,0.0008313630852969613,-0.0008259282330982387,0.0008664047359896497,-0.0008571609,3,32,10
100,0.0007858191321557566,-0.0007904827361926436,0.0007329104100555021,-0.00072837394,3,32,50
100,nan,nan,nan,nan,3,32,100
100,0.0008233292135356486,-0.0008081981795839965,0.0009145048562251924,-0.0009156601,3,128,10
100,0.001074900786870541,-0.0009956161957234144,0.001071430436291953,-0.0010573973,3,128,50
100,1.3807742162687897,-1.126379132270813,0.0005552301594984162,-0.00054178486,3,128,100
