round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
1,0.0010898961971952826,-0.0010776389390230179,0.003501740199004521,-0.0034704832,1,32,10
1,0.0005747896651032656,-0.0005641342140734196,0.0016123425515594152,-0.0015976419,1,32,50
1,0.0005335107249907179,-0.0005243287887424231,0.0012751229607379532,-0.0012705486,1,32,100
1,0.0031609984196836693,-0.00310112233273685,0.00496613739373283,-0.0049074097,1,128,10
1,0.002204213030475738,-0.0021006870083510876,0.004347747384863113,-0.0042540357,1,128,50
1,0.001412405448223525,-0.001343557029031217,0.0029013260743386456,-0.0028287321,1,128,100
1,0.0011920542672536982,-0.0011787532130256295,0.0020901825975814313,-0.0020814664,2,32,10
1,0.0005023512480578874,-0.0004903459921479225,0.0013497418489983324,-0.0013338267,2,32,50
1,0.0004959543651751317,-0.0004859828623011708,0.0009240260897416452,-0.0009183645,2,32,100
1,0.0023514486825222084,-0.002223118906840682,0.0028169468683983496,-0.0028063098,2,128,10
1,0.002158860453864795,-0.002038500737398863,0.002664185547531187,-0.0026588903,2,128,50
1,0.0009322742609506994,-0.0008682975312694907,0.0020055440366457994,-0.0019541818,2,128,100
1,0.0010811800999795283,-0.0010684872977435589,0.0020420417722260996,-0.002030211,3,32,10
1,0.0004861431898949739,-0.0004744353354908526,0.0011366176327949555,-0.001139688,3,32,50
1,0.00048359359488099943,-0.0004723715246655047,0.0009582552925976132,-0.000953138,3,32,100
1,0.00227751351279203,-0.0021546492353081703,0.0026060226139985473,-0.0026051248,3,128,10
1,0.0020296867353434877,-0.001922070630826056,0.0025363084641274072,-0.002526793,3,128,50
1,0.0009731449201521089,-0.0009060201118700206,0.0020721151726320387,-0.0020522492,3,128,100
