,,0
Time: Night, Age: 18 - 29,0.3160207526566078
Time: Night, Weather: Snowy,0.38297061947092226
Time: Night,Gender: Female,0.36947330345305684
Time: Night,Road Type: One Way,0.3396589557712465
Time: Night,Main Mode: Active Modes,0.384946551189455
Time: Night,Participant Owns a Driving License,0.3725579926783653
Time: Night,Mixed Traffic Conditions,0.7274647771527286
Time: Night, Previous VR Experience,0.43480530348303603
Time: Night,Age: 30 - 39,0.4956396769427083
Time: Night,Fully Automated Conditions,0.351664320064857
Time: Night, Lane Width,0.4545862625700618
Time: Night,Walk to Work,0.2806802333932792
Walk to Work,Walk to Shopping,0.4312531880869605
Walk to Work,More than 1 Car in the Household,0.5404716513652948
Walk to Work,Main Mode: Car,0.5474438099390129
Walk to Work,Vehicle Arrival Rate,0.36753553138740586
Walk to Work,Age Over 50,0.6685554563052012
Walk to Work,Traffic Density,0.37192305403980047
Walk to Work, Age: 18 - 29,0.43700718924396553
Walk to Work, Weather: Snowy,0.4503163211844242
Walk to Work,Gender: Female,0.43488830133110185
Walk to Work,Road Type: One Way,0.4253253837265073
Walk to Work,Main Mode: Active Modes,0.25456543700463086
Walk to Work,Participant Owns a Driving License,0.4128488334114316
Walk to Work,Mixed Traffic Conditions,0.5527942315372159
Walk to Work, Previous VR Experience,0.42997101626900686
Walk to Work,Age: 30 - 39,0.3254585283958817
Walk to Work,Fully Automated Conditions,0.41721881888311374
Walk to Work, Lane Width,0.449537153860391
Walk to Work,Time: Night,0.3155192494269372
