round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.008658124748406965,0.007046795915812254,0.00803824421018362,-0.007046795915812254,-0.00803824421018362,0.02061880934896931,0.01700055,0.018085165,-0.01700055,-0.018085165,1,1,32,0,10
1,0.005832286250865493,0.004687928128987551,0.005688378121703863,-0.004687928128987551,-0.005688378121703863,0.012979637000088758,0.010576835,0.012004249,-0.010576835,-0.012004249,1,1,32,0,50
1,0.0050945467966011316,0.00405902462080121,0.005184703506529331,-0.00405902462080121,-0.005184703506529331,0.011592161975601664,0.009398838,0.010960918,-0.009398838,-0.010960918,1,1,32,0,100
1,0.009634870834699433,0.007871135137975216,0.008838045410811901,-0.007871135137975216,-0.008838045410811901,0.02314246282977314,0.019527327,0.018061807,-0.019527327,-0.018061807,1,1,32,0.2,10
1,0.005878486374440357,0.004701965022832155,0.005886815022677183,-0.004701965022832155,-0.005886815022677183,0.014335592505066438,0.012001693,0.011663657,-0.012001693,-0.011663658,1,1,32,0.2,50
1,0.005687438816874838,0.004526933655142784,0.005810891278088093,-0.004526933655142784,-0.005810891278088093,0.011835701528168695,0.009699007,0.010678051,-0.009699007,-0.010678051,1,1,32,0.2,100
1,0.014489155797161951,0.012583507224917412,0.009597839787602425,-0.012583507224917412,-0.009597840718925,0.03173947306216856,0.027439576,0.021490144,-0.027439576,-0.021490144,1,1,32,0.5,10
1,0.00771160462936313,0.006351804826408625,0.006765588652342558,-0.006351804826408625,-0.006765588652342558,0.016819634866124276,0.014241433,0.012883335,-0.014241433,-0.012883337,1,1,32,0.5,50
1,0.0056424876528094635,0.004586286377161741,0.005288632586598396,-0.0045862868428230286,-0.005288632586598396,0.013532646859342249,0.01141271,0.010591959,-0.01141271,-0.010591959,1,1,32,0.5,100
1,0.019338802274684232,0.016462229192256927,0.014227409847080708,-0.016462231054902077,-0.014227409847080708,0.038669561721865774,0.032774366,0.029257515,-0.032774366,-0.029257517,1,1,128,0,10
1,0.012038344680743605,0.009804056026041508,0.011073367670178413,-0.009804056026041508,-0.011073367670178413,0.025153396767886735,0.020815616,0.021467704,-0.020815616,-0.021467704,1,1,128,0,50
1,0.008535271663650746,0.0067540318705141544,0.008757933042943478,-0.0067540318705141544,-0.008757933042943478,0.01817892061266909,0.01472469,0.01709801,-0.01472469,-0.01709801,1,1,128,0,100
1,0.020887894646854855,0.017228588461875916,0.01815093122422695,-0.017228590324521065,-0.0181509330868721,0.04228105426606556,0.035320986,0.03457346,-0.035320986,-0.03457346,1,1,128,0.2,10
1,0.011822066065126506,0.009611410088837147,0.010984832420945168,-0.009611409157514572,-0.010984832420945168,0.025223891919252842,0.020722317,0.022282014,-0.020722317,-0.022282014,1,1,128,0.2,50
1,0.010202574244861384,0.008216997608542442,0.009894886054098606,-0.008216997608542442,-0.009894886054098606,0.02079080427599548,0.017010657,0.01878507,-0.017010657,-0.018785072,1,1,128,0.2,100
1,0.02028804551710759,0.016577092930674553,0.018380818888545036,-0.016577092930674553,-0.018380817025899887,0.04866411454580125,0.040684175,0.039484646,-0.04068418,-0.039484646,1,1,128,0.5,10
1,0.01249113854793528,0.010340589098632336,0.010580438189208508,-0.010340589098632336,-0.010580437257885933,0.029009220614017606,0.024942366,0.020077867,-0.024942368,-0.020077867,1,1,128,0.5,50
1,0.01121053327668313,0.009265417233109474,0.00969648826867342,-0.009265417233109474,-0.009696489199995995,0.021198414461665368,0.017632153,0.017709987,-0.017632153,-0.01770999,1,1,128,0.5,100
1,0.006487237003758356,0.005206692963838577,0.0063892537727952,-0.005206693429499865,-0.006389252841472626,0.020375823749789575,0.017220728,0.01576408,-0.017220728,-0.01576408,1,2,32,0,10
1,0.00543071342488436,0.004427480511367321,0.0050370898097753525,-0.004427480511367321,-0.005037089344114065,0.01251877879861292,0.010330214,0.010931829,-0.010330215,-0.010931828,1,2,32,0,50
1,0.005381529688087862,0.004430609289556742,0.0047600450925529,-0.004430609289556742,-0.0047600450925529,0.011187853696143588,0.009180403,0.010031142,-0.009180404,-0.010031142,1,2,32,0,100
1,0.010604849010165935,0.008749688044190407,0.009313013404607773,-0.008749688044190407,-0.009313014335930347,0.02517509816698468,0.02156868,0.018029846,-0.02156868,-0.018029846,1,2,32,0.2,10
1,0.005803765415386131,0.004720315337181091,0.005421504843980074,-0.004720315337181091,-0.005421504843980074,0.015796185519361235,0.013253044,0.012704419,-0.013253044,-0.012704419,1,2,32,0.2,50
1,0.004608795762570716,0.003728210926055908,0.004389369394630194,-0.003728210926055908,-0.004389369394630194,0.011509183915365711,0.009595689,0.009559932,-0.00959569,-0.009559932,1,2,32,0.2,100
1,0.011137061450805931,0.009356439113616943,0.008895933628082275,-0.009356439113616943,-0.008895933628082275,0.029530440995787742,0.025969531,0.017786173,-0.025969533,-0.017786173,1,2,32,0.5,10
1,0.006039661466197828,0.004938199184834957,0.005489685572683811,-0.00493819871917367,-0.0054896860383450985,0.01771469969871017,0.015184889,0.012636029,-0.015184889,-0.012636029,1,2,32,0.5,50
1,0.004712834608316441,0.0038200884591788054,0.004477000329643488,-0.0038200884591788054,-0.004477000329643488,0.01344121158308844,0.011377838,0.010306674,-0.011377839,-0.010306674,1,2,32,0.5,100
1,0.01399888636246943,0.011542112566530704,0.012223572470247746,-0.011542114429175854,-0.01222357340157032,0.0326367881098626,0.02671238,0.029339531,-0.02671238,-0.029339533,1,2,128,0,10
1,0.010013505040986201,0.00813452247530222,0.009319983422756195,-0.00813452247530222,-0.00931998249143362,0.02003992804246902,0.016219163,0.018913012,-0.016219161,-0.018913012,1,2,128,0,50
1,0.011204661989866086,0.009237817488610744,0.009595098905265331,-0.009237817488610744,-0.009595099836587906,0.02027716187045909,0.016795596,0.017260695,-0.016795596,-0.017260695,1,2,128,0,100
1,0.01596579400644237,0.013393145985901356,0.012715847231447697,-0.01339314691722393,-0.012715847231447697,0.040614150702378386,0.035208732,0.026697556,-0.035208732,-0.026697557,1,2,128,0.2,10
1,0.010124477166626893,0.008338415063917637,0.008790108375251293,-0.008338415995240211,-0.008790107443928719,0.022170800740700162,0.018332876,0.018961951,-0.018332876,-0.018961951,1,2,128,0.2,50
1,0.01212402161215143,0.010077941231429577,0.010007837787270546,-0.010077940300107002,-0.010007837787270546,0.02030859387473171,0.016948167,0.016634822,-0.016948167,-0.016634824,1,2,128,0.2,100
1,0.01853706245831756,0.015816673636436462,0.013460886664688587,-0.015816673636436462,-0.013460886664688587,0.048097049726117294,0.04087762,0.035777435,-0.04087762,-0.035777435,1,2,128,0.5,10
1,0.011633633924209406,0.009612299501895905,0.009981876239180565,-0.009612299501895905,-0.009981876239180565,0.029041117157265338,0.024747226,0.021287443,-0.024747223,-0.021287443,1,2,128,0.5,50
