round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
100,0.007636278308137843,-0.007607184816151857,0.007153965725725699,-0.0071498123,1,32,10
100,0.006049856685591891,-0.006023650523275137,0.004983272656897058,-0.0049784426,1,32,50
100,0.005097251147950536,-0.005083297844976187,0.002792439673243536,-0.0027903658,1,32,100
100,0.00847179955895164,-0.008483301848173141,0.008028992267267955,-0.008031502,1,128,10
100,0.007297081271573654,-0.007313773967325687,0.006438424999548473,-0.006411688,1,128,50
100,0.00570498210655628,-0.005704977083951235,0.004245729180297415,-0.0042331824,1,128,100
100,0.0073785837060429595,-0.007344013545662165,0.007000435063603138,-0.007011954,2,32,10
100,0.005338120844963661,-0.005329822655767202,0.003802975975728684,-0.0038010196,2,32,50
100,0.0038352766157028428,-0.0038195571396499872,0.0016578738064428422,-0.0016653242,2,32,100
100,0.007678810683769744,-0.007688590791076422,0.00754352599325105,-0.0075227185,2,128,10
100,0.006444899621751839,-0.006455999333411455,0.005795138828582084,-0.005764768,2,128,50
100,0.0050438582707545586,-0.005030658096075058,0.0036500200142906654,-0.0036377774,2,128,100
100,0.007293585552200043,-0.007262822240591049,0.006862331809321822,-0.0068804245,3,32,10
100,0.005107670245714403,-0.005093112122267485,0.003163729529937575,-0.0031676285,3,32,50
100,0.0033912079628665437,-0.0033814548514783382,0.0013984806422851568,-0.0013974785,3,32,100
100,0.007330970558694521,-0.007335481233894825,0.007607298370848212,-0.0076335333,3,128,10
100,0.006024785035617026,-0.006034721154719591,0.005171169336712968,-0.0052337996,3,128,50
100,0.004377211951584233,-0.004373597446829081,0.0029250078208167057,-0.002909542,3,128,100
