round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
100,0.00010871843786848177,-0.00010635556100169197,0.0001289257497473104,-0.00012837812,1,32,10
100,nan,nan,nan,nan,1,32,50
100,0.00011994764078049421,-0.00011723180068656802,0.0001313641288562575,-0.00013093853,1,32,100
100,0.00020819885693704602,-0.00018374744104221463,0.00021927172591132548,-0.0002161117,1,128,10
100,0.0001240783163680431,-0.00011089714098488912,0.00012440199531762463,-0.00012136757,1,128,50
100,0.00011157721677019842,-0.00010265879973303527,0.0001070152444997244,-0.00010669866,1,128,100
100,0.00019069389205727497,-0.00018624603399075568,0.00019736964020995889,-0.00019526145,2,32,10
100,0.00017291915058706962,-0.0001680990244494751,0.00017293241006112545,-0.00017113402,2,32,50
100,0.0001269819953017672,-0.00012437129043973982,6.426537283936323e-05,-6.447433e-05,2,32,100
100,0.00021570366204018665,-0.00019117217743769288,0.00022470046000050412,-0.00022049199,2,128,10
100,0.0001268747405778399,-0.00011659739539027214,0.00011221324753536054,-0.0001111578,2,128,50
100,0.0001735635976805762,-0.0001566302526043728,0.00012185293579140758,-0.000120387354,2,128,100
100,0.00020130362503954934,-0.00019606199930422008,0.00021224583527609277,-0.0002102115,3,32,10
100,nan,nan,nan,nan,3,32,50
100,nan,nan,nan,nan,3,32,100
100,0.00019887898655501695,-0.00016906757082324475,0.00019543157023326347,-0.00020025414,3,128,10
100,0.00020660382118827656,-0.00017773298895917833,0.0001756891202180461,-0.00017713693,3,128,50
100,0.00020438627776958788,-0.00017678868607617915,0.00012908932258142157,-0.000127891,3,128,100
