round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.020721869190491814,0.017097830772399902,0.018612990155816078,-0.017097827047109604,-0.018612990155816078,0.0367140324829322,0.030640848,0.030311596,-0.030640844,-0.030311596,1,1,32,0,10
1,0.018527121767631563,0.01529387291520834,0.015991006046533585,-0.015293870121240616,-0.015991006046533585,0.024924199717994665,0.020625712,0.021501958,-0.020625714,-0.021501958,1,1,32,0,50
1,0.01756755076995284,0.014493068680167198,0.015596471726894379,-0.014493067748844624,-0.015596471726894379,0.022215298473652507,0.018275851,0.019829838,-0.018275851,-0.019829838,1,1,32,0,100
1,0.0208975150082167,0.017300531268119812,0.01820705272257328,-0.01730053313076496,-0.01820705272257328,0.03623019562221711,0.03037532,0.029115347,-0.03037532,-0.029115345,1,1,32,0.2,10
1,0.017223014638856532,0.014187627471983433,0.015155091881752014,-0.014187625609338284,-0.015155091881752014,0.0259454841045929,0.021716978,0.021087117,-0.021716977,-0.021087117,1,1,32,0.2,50
1,0.018360968455787198,0.015058416873216629,0.01635405421257019,-0.015058416873216629,-0.01635405421257019,0.02368845699402962,0.019663626,0.020003403,-0.019663626,-0.020003404,1,1,32,0.2,100
1,0.0329853550915639,0.02901635505259037,0.021030284464359283,-0.02901635691523552,-0.021030284464359283,0.044018514732131586,0.0377969,0.030946024,-0.0377969,-0.030946024,1,1,32,0.5,10
1,0.01973845018091875,0.016495155170559883,0.01655019074678421,-0.016495155170559883,-0.01655019074678421,0.02958552849427247,0.02519901,0.022053747,-0.02519901,-0.022053748,1,1,32,0.5,50
1,0.017957952261442298,0.014733388088643551,0.0161578468978405,-0.014733388088643551,-0.01615784876048565,0.02580961010319912,0.021690838,0.02057554,-0.021690838,-0.02057554,1,1,32,0.5,100
1,0.03993656472480762,0.03274311125278473,0.03548527881503105,-0.03274311125278473,-0.03548527508974075,0.05217603303024724,0.04341727,0.043489162,-0.04341727,-0.043489162,1,1,128,0,10
1,0.021533578970443314,0.017594678327441216,0.01934622973203659,-0.017594680190086365,-0.01934623531997204,0.03371268557180304,0.027735673,0.029019658,-0.027735673,-0.02901966,1,1,128,0,50
