round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.07700831368851022,0.05083267390727997,0.1289299726486206,-0.05083255097270012,-0.1289297491312027,0.2573591534110854,0.21008652,0.2243073,-0.21008651,-0.22430728,1,1,32,0,10
1,0.0028125224358462853,0.0013854233548045158,0.006921984255313873,-0.0013854193966835737,-0.006921989377588034,0.11360378331098285,0.08532306,0.13426225,-0.085323036,-0.13426222,1,1,32,0,50
1,0.0014683357716477352,0.0011347286636009812,0.0016252981731668115,-0.0011347224935889244,-0.0016253035282716155,0.09100207945966213,0.07109736,0.09374803,-0.07109735,-0.09374801,1,1,32,0,100
1,0.0499680285195738,0.029398489743471146,0.10148017108440399,-0.02939848229289055,-0.10148002207279205,0.21219224212624185,0.17196614,0.19246498,-0.17196614,-0.19246495,1,1,32,0.2,10
1,0.01615218299358969,0.008257088251411915,0.038065072149038315,-0.008257084526121616,-0.03806503862142563,0.13317314858304904,0.10525846,0.13136324,-0.10525842,-0.13136317,1,1,32,0.2,50
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,32,0.2,100
1,0.08385412757538288,0.0656566470861435,0.08872904628515244,-0.0656566470861435,-0.08872905373573303,0.254953459977246,0.21062827,0.2153183,-0.21062827,-0.21531829,1,1,32,0.5,10
1,0.00226024034347428,0.0011647080536931753,0.00538479583337903,-0.0011647017672657967,-0.005384801886975765,0.1583916276577208,0.12982062,0.1339643,-0.12982057,-0.13396423,1,1,32,0.5,50
1,nan,nan,nan,nan,nan,0.1236363441519198,0.098338604,0.11873495,-0.09833859,-0.11873493,1,1,32,0.5,100
1,0.2895751795321132,0.24021366238594055,0.2451663464307785,-0.24021366238594055,-0.2451663464307785,0.2996386078621844,0.24896714,0.25133938,-0.24896714,-0.25133938,1,1,128,0,10
1,0.22370303442195,0.18028923869132996,0.2085210382938385,-0.18028922379016876,-0.2085210382938385,0.28063031883119677,0.2302315,0.24202888,-0.23023148,-0.24202885,1,1,128,0,50
1,0.20175272939990763,0.16071826219558716,0.19790016114711761,-0.16071826219558716,-0.1979001760482788,0.26739047270455807,0.21911316,0.22900988,-0.21911316,-0.22900987,1,1,128,0,100
1,0.2924759250947799,0.24287645518779755,0.2469346821308136,-0.24287645518779755,-0.2469346821308136,0.3010243491303149,0.25026128,0.2520126,-0.25026128,-0.2520126,1,1,128,0.2,10
1,0.2675078431308498,0.22028955817222595,0.23483729362487793,-0.22028955817222595,-0.23483729362487793,0.2944902217216629,0.24370372,0.2489332,-0.24370372,-0.2489332,1,1,128,0.2,50
1,0.08912217397228511,0.06116035580635071,0.12854179739952087,-0.06116030737757683,-0.1285417079925537,0.2520744287567459,0.2020551,0.22223207,-0.2020551,-0.22223207,1,1,128,0.2,100
1,0.29084511049862566,0.24141375720500946,0.24634549021720886,-0.24141375720500946,-0.24634549021720886,0.3014139555341048,0.25071368,0.25180382,-0.25071368,-0.25180382,1,1,128,0.5,10
1,0.25271077768099265,0.20628440380096436,0.23218300938606262,-0.20628440380096436,-0.23218302428722382,0.2902147787080394,0.2393221,0.24867643,-0.23932213,-0.24867643,1,1,128,0.5,50
1,0.17073997238586688,0.1308264285326004,0.18615344166755676,-0.13082638382911682,-0.18615342676639557,0.27678188071977033,0.22547305,0.24191175,-0.22547303,-0.24191175,1,1,128,0.5,100
1,0.054399423329766224,0.03201419860124588,0.11084627360105515,-0.03201419487595558,-0.11084619909524918,0.2309249274950805,0.18780433,0.2042849,-0.18780433,-0.20428489,1,2,32,0,10
