round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes,Dtype
100,0.0013970711444222664,0.001124457805417478,0.0013754297979176044,-0.001124458503909409,-0.0013754302635788918,0.0013176482048821445,0.0010390285169705749,0.0013416826259344816,-0.0010390285169705749,-0.0013416828587651253,1,1,32,0.0,10,L_3
100,,,,,,,,,,,1,1,32,0.0,50,L_3
100,,,,,,,,,,,1,1,32,0.0,100,L_3
100,0.003661405712623021,0.002879059175029397,0.003960641101002693,-0.00287906127050519,-0.003960635047405958,0.0037980867177918017,0.002955513307824731,0.004015615209937096,-0.002955514006316662,-0.004015607293695211,1,1,32,0.2,10,L_3
100,0.0011731630786218578,0.0009646641556173563,0.000960545614361763,-0.0009646649123169482,-0.0009605454979464412,0.0010593400614858745,0.0008787175756879151,0.0009014946408569813,-0.0008787178085185587,-0.0009014946408569813,1,1,32,0.2,50,L_3
100,,,,,,,,,,,1,1,32,0.2,100,L_3
100,0.0038572671444965278,0.003030096646398306,0.00412799883633852,-0.003030099207535386,-0.0041279904544353485,0.005024153497561419,0.004215830937027931,0.003999471198767424,-0.004215832334011793,-0.003999464679509401,1,1,32,0.5,10,L_3
100,0.0012525580627165763,0.0010319455759599805,0.001084040035493672,-0.0010319456923753023,-0.0010840401519089937,0.0012384187058284344,0.001020302763208747,0.0010786211350932717,-0.0010203032288700342,-0.0010786211350932717,1,1,32,0.5,50,L_3
100,,,,,,,,,,,1,1,32,0.5,100,L_3
100,0.0018661119524653559,0.0013586009154096246,0.0025725536979734898,-0.0013586013810709119,-0.0025725546292960644,0.001785189303853136,0.0012618531472980976,0.0024945088662207127,-0.001261853612959385,-0.002494509331882,1,1,128,0.0,10,L_3
100,0.0012554362486741038,0.001018875977024436,0.0011159905698150396,-0.0010188757441937923,-0.0011159905698150396,0.001209140663778932,0.0009501581662334502,0.0011974512599408627,-0.0009501581662334502,-0.0011974513763561845,1,1,128,0.0,50,L_3
100,,,,,,,,,,,1,1,128,0.0,100,L_3
100,0.001902423361476896,0.0012757494114339352,0.003170265583321452,-0.001275749527849257,-0.003170265583321452,0.0019480349998519146,0.0013140056980773807,0.003229465102776885,-0.0013140056980773807,-0.003229465102776885,1,1,128,0.2,10,L_3
100,0.0012758188926475659,0.0010216040536761284,0.001064053736627102,-0.0010216038208454847,-0.0010640538530424237,0.001265584267966217,0.0010915056336671114,0.0011846565175801516,-0.0010915057500824332,-0.0011846565175801516,1,1,128,0.2,50,L_3
100,0.00126096875972375,0.0010239394614472985,0.0010375420097261667,-0.0010239392286166549,-0.0010375420097261667,0.0012336768783914815,0.0010160120436921716,0.0011142799630761147,-0.0010160127421841025,-0.0011142798466607928,1,1,128,0.2,100,L_3
100,0.0020059464326292503,0.0015217646723613143,0.0025957846082746983,-0.001521766185760498,-0.0025957846082746983,0.002805748174739756,0.0023075698409229517,0.00223369849845767,-0.0023075726348906755,-0.0022336989641189575,1,1,128,0.5,10,L_3
100,0.008933993802188228,0.006927291862666607,0.008082437328994274,-0.006927276495844126,-0.008082437328994274,0.008921321317535653,0.007206841371953487,0.008374333381652832,-0.0072068204171955585,-0.008374329656362534,1,1,128,0.5,50,L_3
100,,,,,,,,,,,1,1,128,0.5,100,L_3
100,0.0019125159168830034,0.0016680374974384904,0.0011445045238360763,-0.0016680393600836396,-0.0011445051059126854,0.0018672771256906147,0.0016332557424902916,0.0010957305785268545,-0.0016332576051354408,-0.0010957306949421763,1,2,32,0.0,10,L_3
100,,,,,,,,,,,1,2,32,0.0,50,L_3
100,0.0011721897680290986,0.0009860903955996037,0.0009716334752738476,-0.0009860903955996037,-0.0009716334752738476,0.0010286018030569448,0.000846352893859148,0.0008718150784261525,-0.000846352893859148,-0.0008718150784261525,1,2,32,0.0,100,L_3
100,0.0030291835060236097,0.002090345835313201,0.004707776475697756,-0.00209034769795835,-0.004707761574536562,0.003276671435375758,0.0022162485402077436,0.005269584711641073,-0.0022162499371916056,-0.005269565153867006,1,2,32,0.2,10,L_3
100,0.009131870425209916,0.007419637870043516,0.008294709958136082,-0.007419619709253311,-0.008294704370200634,0.00922777078759899,0.007558830082416534,0.008365531452000141,-0.007558813318610191,-0.008365526795387268,1,2,32,0.2,50,L_3
100,,,,,,,,,,,1,2,32,0.2,100,L_3
100,0.0014429497465641163,0.00121911836322397,0.0010944202076643705,-0.0012191201094537973,-0.0010944207897409797,0.0016685768102889778,0.0014313532738015056,0.001128298812545836,-0.0014313497813418508,-0.0011282991617918015,1,2,32,0.5,10,L_3
100,,,,,,,,,,,1,2,32,0.5,50,L_3
100,0.009024958770322503,0.0072873663157224655,0.00839000940322876,-0.007287345826625824,-0.008390006609261036,0.009007417308769639,0.007323488127440214,0.008516456000506878,-0.007323466241359711,-0.00851645227521658,1,2,32,0.5,100,L_3
100,0.001616739356619131,0.0012964862398803234,0.0013811317039653659,-0.0012964875204488635,-0.0013811324024572968,0.0016321802550895536,0.0013786833733320236,0.0015614693984389305,-0.0013786845374852419,-0.0015614696312695742,1,2,128,0.0,10,L_3
100,0.0013412458396613084,0.0010760599980130792,0.0012000830611214042,-0.0010760599980130792,-0.001200083177536726,0.0013048583931988664,0.0010988458525389433,0.001401545014232397,-0.0010988458525389433,-0.001401545130647719,1,2,128,0.0,50,L_3
100,0.001264535816621849,0.0010344826150685549,0.0011009338777512312,-0.0010344826150685549,-0.0011009337613359094,0.0012169448859828838,0.0009734380873851478,0.001238473691046238,-0.0009734382038004696,-0.001238473691046238,1,2,128,0.0,100,L_3
100,0.0015125855450229399,0.001215302268974483,0.0013073921436443925,-0.0012153035495430231,-0.0013073923764750361,0.0015992818811486253,0.0012831470230594277,0.001433740952052176,-0.0012831477215513587,-0.0014337408356368542,1,2,128,0.2,10,L_3
100,0.00130364208096831,0.0010661868145689368,0.0011859715450555086,-0.001066186698153615,-0.001185972010716796,0.0012709200709144757,0.0010026535019278526,0.001248396816663444,-0.0010026536183431745,-0.0012483972823247313,1,2,128,0.2,50,L_3
100,0.0012317475438175074,0.00100464909337461,0.0010210993932560086,-0.0010046489769592881,-0.0010210995096713305,0.0012351505104363036,0.0009898373391479254,0.0011657803552225232,-0.000989837571978569,-0.0011657802388072014,1,2,128,0.2,100,L_3
100,0.00770130866988637,0.005843035411089659,0.007867967709898949,-0.005843016318976879,-0.00786796398460865,0.008686422975622207,0.0068996017798781395,0.008902695961296558,-0.0068995836190879345,-0.008902697823941708,1,2,128,0.5,10,L_3
100,0.0028171146830893567,0.0024098227731883526,0.0029543242417275906,-0.00240982323884964,-0.0029543242417275906,0.002844725391432214,0.0023255054838955402,0.0027522260788828135,-0.002325506415218115,-0.002752227010205388,1,2,128,0.5,50,L_3
100,0.0029208562970232804,0.002366188447922468,0.0035517930518835783,-0.002366189379245043,-0.0035517916548997164,0.0031808204448623336,0.002641156781464815,0.003509156871587038,-0.0026411572471261024,-0.0035091573372483253,1,2,128,0.5,100,L_3
100,0.0013864210541841798,0.0011306395754218102,0.0012707856949418783,-0.0011306395754218102,-0.0012707855785265565,0.00130074486612148,0.0010566002456471324,0.001247253268957138,-0.0010566000128164887,-0.001247253268957138,1,3,32,0.0,10,L_3
100,0.0013261959295705588,0.0010967487469315529,0.0010983009124174714,-0.0010967487469315529,-0.0010983007960021496,0.0010699137665635104,0.0008879085653461516,0.0009039500146172941,-0.0008879084489308298,-0.0009039499564096332,1,3,32,0.0,50,L_3
100,,,,,,,,,,,1,3,32,0.0,100,L_3
100,0.008444652421635458,0.00643882667645812,0.009587318636476994,-0.006438801065087318,-0.009587331674993038,0.009738342906180903,0.007764898240566254,0.009844527579843998,-0.007764892186969519,-0.009844541549682617,1,3,32,0.2,10,L_3
